#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Bauskas pamatskolas 6. klases audzēknes Kitija Rāzna un Valērija Siņica bija priecīgas par stundu ilgo slidošanu.
1-1	0-7	Bauskas	npfsg4	*	Bauska	organization[1]|GPE[2]	*[1]|https://en.wikipedia.org/wiki/Bauska[2]	_	_	nmod	basic	1-2	
3-10	271-277	izlikt	vmnn0t1000n	*	izlikt	_	_	_	_	xcomp	basic	3-9	
3-11	278-286	pārpārēm	r0m	*	pārpārēm	_	_	_	_	advmod	basic	3-10	
3-12	286-287	.	zs	*	.	_	_	_	_	punct	basic	3-2	

#Text=Pirmajā vakarā pa laukumu traucās dažāda vecuma bērni.
4-1	289-296	Pirmajā	mosmsl	*	pirmais	_	_	_	_	amod	basic	4-2	
4-2	297-303	vakarā	ncmsl1	*	vakars	_	_	_	_	obl	basic	4-5	
4-3	304-306	pa	spsa	*	pa	_	_	_	_	case	basic	4-4	
4-4	307-314	laukumu	ncmsa1	*	laukums	_	_	_	_	obl	basic	4-5	
4-5	315-322	traucās	vmyisi130an	*	traukties	_	_	_	_	root	basic	4-5	
4-6	323-329	dažāda	armsgnp	*	dažāds	_	_	_	_	amod	basic	4-7	
4-7	330-336	vecuma	ncmsg1	*	vecums	_	_	_	_	nmod	basic	4-8	
4-8	337-342	bērni	ncmpn1	*	bērns	_	_	_	_	nsubj	basic	4-5	
4-9	342-343	.	zs	*	.	_	_	_	_	punct	basic	4-5	
