#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Pāvils noliecas pie grāvja.
1-1	0-6	Pāvils	npmsn1	Pāvils	person	*	*[1]	*->1-1	nsubj	basic	1-2	
6-5	261-265	tāds	pd0msnn	tāds	_	_	_	_	root	basic	6-5	
6-6	266-270	pats	pg0msnn	pats	_	_	_	_	compound	basic	6-5	
6-7	271-273	kā	cs	kā	_	_	_	_	mark	basic	6-8	
6-8	274-280	arvien	r0t	arvien	_	_	_	_	advcl	basic	6-6	
6-9	281-282	—	zd	—	_	_	_	_	punct	basic	6-10	
6-10	283-289	dzidrs	afmsnnp	dzidrs	_	_	_	_	acl	basic	6-5	
6-11	289-290	,	zc	,	_	_	_	_	punct	basic	6-12	
6-12	291-299	pelēcīgs	afmsnnp	pelēcīgs	_	_	_	_	conj	basic	6-10	
6-13	299-300	,	zc	,	_	_	_	_	punct	basic	6-15	
6-14	301-305	sevī	px000ln	sevis	_	_	_	_	obl	basic	6-15	
6-15	306-315	noslēpies	vmypdmsnasnp	noslēpies	_	_	_	_	conj	basic	6-10	
6-16	315-316	.	zs	.	_	_	_	_	punct	basic	6-5	
